1,-53,44440692
1,-53,44440694
1,-62,44441132
1,-62,44441135
1,-58,44441574
1,-58,44441578
1,-66,44442428
1,-66,44442430
1,-56,44442870
1,-57,44442871
1,-56,44443734
1,-56,44443735
1,-62,44444170
1,-62,44444171
1,-55,44444601
1,-55,44444602
1,-52,44445043
1,-52,44445047
1,-56,44445479
1,-56,44445480
1,-62,44445916
1,-62,44445920
1,-55,44446357
1,-55,44446359
1,-52,44446787
1,-52,44446789
1,-62,44447217
1,-63,44447218
1,-63,44447648
1,-63,44447649
1,-64,44448513
1,-64,44448515
1,-52,44448937
1,-52,44448938
1,-57,44449374
1,-58,44449375
1,-58,44449807
1,-59,44449812
1,-58,44450241
1,-54,44450682
1,-54,44450683
1,-65,44451989
1,-65,44451990
1,-58,44452412
1,-58,44452413
1,-79,44453718
1,-79,44453719
0,-67,44454148
0,-68,44454149
0,-64,44455016
0,-63,44455019
0,-75,44455446
0,-61,44455878
0,-61,44455879
0,-64,44456310
0,-64,44456312
0,-71,44456748
0,-71,44456750
0,-69,44457183
0,-85,44458064
0,-85,44458065
0,-72,44458504
0,-72,44458505
0,-75,44458934
0,-75,44458936
0,-72,44459373
0,-72,44459374
0,-73,44459816
0,-73,44459818
0,-73,44460253
0,-60,44460679
0,-66,44461103
0,-66,44461104
0,-71,44461545
0,-71,44461546
0,-81,44461985
0,-81,44461986
0,-73,44462416
0,-74,44462417
0,-75,44462858
0,-75,44462860
0,-75,44463733
0,-75,44463734
0,-84,44464164
0,-83,44464165
0,-77,44465032
0,-78,44465033
0,-75,44465467
0,-75,44465468
0,-79,44465901
0,-79,44465902
0,-62,44466344
0,-63,44466345
0,-56,44466775
0,-55,44466776
1,-45,44467206
1,-45,44467207
1,-57,44467644
1,-57,44467645
1,-42,44468072
1,-42,44468073
1,-70,44469361
1,-70,44469363
1,-71,44469793
1,-71,44469794
1,-67,44470231
1,-61,44470658
1,-61,44470660
1,-71,44471958
1,-71,44471959
1,-66,44472393
1,-66,44472394
1,-61,44472821
1,-61,44472822
1,-75,44473261
1,-75,44473262
1,-61,44473691
1,-61,44473692
0,-81,44474118
0,-66,44474123
0,-66,44474124
0,-64,44474985
0,-64,44474986
0,-79,44475410
0,-79,44475411
0,-71,44475841
0,-72,44475842
0,-84,44476706
0,-85,44476708
0,-67,44477144
0,-67,44477146
0,-92,44477580
0,-92,44477582
0,-69,44478021
0,-69,44478022
0,-60,44478457
0,-60,44478458
0,-69,44478885
0,-69,44478886
0,-75,44479324
0,-75,44479325
0,-69,44479759
0,-69,44479760
0,-69,44480608
0,-69,44480612
0,-67,44481484
0,-67,44481485
0,-69,44481921
0,-69,44481923
0,-90,44482359
0,-90,44482360
0,-63,44482784
0,-63,44482786
1,-46,44484100
1,-46,44484101
1,-57,44484530
1,-57,44484531
1,-47,44484969
1,-48,44484971
1,-62,44485403
1,-63,44485405
1,-49,44486277
1,-49,44486280
1,-61,44486714
1,-61,44486715
1,-61,44487149
1,-61,44487151
1,-61,44487578
1,-61,44487579
1,-54,44488000
1,-54,44488002
1,-72,44488428
1,-72,44488429
1,-60,44488854
1,-60,44488859
1,-79,44489291
1,-79,44489292
1,-68,44489724
1,-68,44489726
1,-75,44490167
1,-76,44490168
1,-75,44490597
1,-75,44490598
0,-82,44491030
0,-68,44491461
0,-68,44491463
0,-71,44491894
0,-71,44491895
0,-81,44492332
0,-81,44492333
0,-74,44493208
0,-74,44493211
0,-70,44493632
0,-70,44493635
0,-70,44494066
0,-70,44494068
0,-70,44494947
0,-73,44495372
0,-73,44495374
0,-74,44495805
0,-74,44495807
0,-73,44496239
0,-73,44496240
0,-79,44496669
0,-79,44496670
0,-75,44497109
0,-76,44497110
0,-85,44498845
0,-85,44498847
0,-75,44499279
0,-75,44499280
0,-84,44499706
0,-84,44499708
0,-75,44500141
0,-75,44500142
0,-84,44500569
